"Country","Indicator","Measure","Inequality","Unit","PowerCode","Reference Period","Value","Flags"
"Australia","Labour market insecurity","Value","Total","Percentage","Units",,3.1,
"Austria","Labour market insecurity","Value","Total","Percentage","Units",,2.3,
"Belgium","Labour market insecurity","Value","Total","Percentage","Units",,2.4,
"Canada","Labour market insecurity","Value","Total","Percentage","Units",,3.8,
"Czech Republic","Labour market insecurity","Value","Total","Percentage","Units",,2.3,
"Denmark","Labour market insecurity","Value","Total","Percentage","Units",,4.5,
"Finland","Labour market insecurity","Value","Total","Percentage","Units",,2.2,
"France","Labour market insecurity","Value","Total","Percentage","Units",,3.1,
"Germany","Labour market insecurity","Value","Total","Percentage","Units",,1.4,
"Greece","Labour market insecurity","Value","Total","Percentage","Units",,21.7,
"Hungary","Labour market insecurity","Value","Total","Percentage","Units",,3.8,
"Iceland","Labour market insecurity","Value","Total","Percentage","Units",,1,
"Ireland","Labour market insecurity","Value","Total","Percentage","Units",,2.6,
"Italy","Labour market insecurity","Value","Total","Percentage","Units",,8.6,
"Japan","Labour market insecurity","Value","Total","Percentage","Units",,2.7,
"Korea","Labour market insecurity","Value","Total","Percentage","Units",,2.9,
"Luxembourg","Labour market insecurity","Value","Total","Percentage","Units",,2.2,
"Mexico","Labour market insecurity","Value","Total","Percentage","Units",,4,
"Netherlands","Labour market insecurity","Value","Total","Percentage","Units",,2.5,
"New Zealand","Labour market insecurity","Value","Total","Percentage","Units",,4.5,
"Norway","Labour market insecurity","Value","Total","Percentage","Units",,2.8,
"Poland","Labour market insecurity","Value","Total","Percentage","Units",,5,
"Portugal","Labour market insecurity","Value","Total","Percentage","Units",,8.1,
"Slovak Republic","Labour market insecurity","Value","Total","Percentage","Units",,8.8,
"Spain","Labour market insecurity","Value","Total","Percentage","Units",,15.8,
"Sweden","Labour market insecurity","Value","Total","Percentage","Units",,4.4,
"Türkiye","Labour market insecurity","Value","Total","Percentage","Units",,13,
"United Kingdom","Labour market insecurity","Value","Total","Percentage","Units",,3.3,
"United States","Labour market insecurity","Value","Total","Percentage","Units",,4.2,
"Chile","Labour market insecurity","Value","Total","Percentage","Units",,7,
"Estonia","Labour market insecurity","Value","Total","Percentage","Units",,5.4,
"Israel","Labour market insecurity","Value","Total","Percentage","Units",,4.6,
"Latvia","Labour market insecurity","Value","Total","Percentage","Units",,6.3,
"Slovenia","Labour market insecurity","Value","Total","Percentage","Units",,5.9,
"OECD - Total","Labour market insecurity","Value","Total","Percentage","Units",,5.1,
"Australia","Stakeholder engagement for developing regulations","Value","Total","Average score","Units",,2.7,
"Austria","Stakeholder engagement for developing regulations","Value","Total","Average score","Units",,1.3,
"Belgium","Stakeholder engagement for developing regulations","Value","Total","Average score","Units",,2,
"Canada","Stakeholder engagement for developing regulations","Value","Total","Average score","Units",,2.9,
"Czech Republic","Stakeholder engagement for developing regulations","Value","Total","Average score","Units",,1.6,
"Denmark","Stakeholder engagement for developing regulations","Value","Total","Average score","Units",,2,
"Finland","Stakeholder engagement for developing regulations","Value","Total","Average score","Units",,2.2,
"France","Stakeholder engagement for developing regulations","Value","Total","Average score","Units",,2.1,
"Germany","Stakeholder engagement for developing regulations","Value","Total","Average score","Units",,1.8,
"Greece","Stakeholder engagement for developing regulations","Value","Total","Average score","Units",,1.8,
"Hungary","Stakeholder engagement for developing regulations","Value","Total","Average score","Units",,1.2,
"Iceland","Stakeholder engagement for developing regulations","Value","Total","Average score","Units",,2.1,
"Ireland","Stakeholder engagement for developing regulations","Value","Total","Average score","Units",,1.3,
"Italy","Stakeholder engagement for developing regulations","Value","Total","Average score","Units",,2.5,
"Japan","Stakeholder engagement for developing regulations","Value","Total","Average score","Units",,1.4,
"Korea","Stakeholder engagement for developing regulations","Value","Total","Average score","Units",,2.9,
"Luxembourg","Stakeholder engagement for developing regulations","Value","Total","Average score","Units",,1.7,
"Mexico","Stakeholder engagement for developing regulations","Value","Total","Average score","Units",,3.2,
"Netherlands","Stakeholder engagement for developing regulations","Value","Total","Average score","Units",,2.6,
"New Zealand","Stakeholder engagement for developing regulations","Value","Total","Average score","Units",,2.5,
"Norway","Stakeholder engagement for developing regulations","Value","Total","Average score","Units",,2.2,
"Poland","Stakeholder engagement for developing regulations","Value","Total","Average score","Units",,2.6,
